nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	3961.42	nan	nan	4350.79	3097.61	3298.14	2428.47	2324.14	1815.57	1656.65	1688.26	1542.65	1583.01	1463.56	1274.71	1155.03	1143.81
nan	3882.77	2905.16	2261.16	1935.9	1530.91	1349.63	1195.85	1169.34	1045.02	996.607	974.278	894.536	831.449	803.881	772.967	820.48	672.765	638.46	625.85
nan	2262.33	1936.15	1408.65	1264.98	1045.77	1002.03	845.912	785.091	717.124	689.634	691.835	628.124	615.788	580.469	549.721	554.598	489.406	465.738	465.085
nan	2300.24	1600.96	1225.52	1121.75	1016.95	878.466	819.908	757.76	685.872	626.706	600.589	588.497	536.953	513.797	458.141	456.756	416.464	404.229	375.945
3763.75	2116.9	1394.34	1125.73	985.15	862.894	788.864	724.203	673.411	606.296	582.508	529.017	506.269	474.992	430.9	424.645	397.442	375.201	344.732	326.614
3499.96	1851.59	1353.59	1041.54	889.175	814.598	725.21	685.597	606.094	568.294	510.63	480.528	448.149	394.426	385.747	356.223	356.974	320.915	326.261	301.727
3297.66	1745.9	1299.59	998.277	844.283	752.951	677.459	613.418	585.354	539.676	467.746	437.072	404.302	380.695	362.816	344.812	319.093	307.799	309.546	nan
