nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3580.37	2801.08	2263.15	2218.58
nan	nan	nan	nan	nan	2633.71	2121.94	1786.21	1523.8	1519.01	1478.97	1319.73	1188.4	1151.58	866.707	842.492	886.583	868.203	796.729	651.923
nan	nan	nan	3657.37	2457.88	2276.39	1687.86	1653.22	1341.05	1207.48	1084.1	939.885	797.293	733.109	686.36	586.602	592.411	539.971	531.335	517.7
nan	nan	3834.87	3215.15	2524.32	1651.49	1350.18	1250.38	1071.34	944.208	893.003	787.445	692.798	604.763	559.917	537.072	479.493	457.692	404.079	410.875
nan	nan	3592.04	2626.31	1801.74	1566.62	1308.33	1111.33	951.325	822.077	717.831	636.385	574.049	545.655	480.636	455.803	415.465	388.49	347.469	342.226
nan	nan	3350.04	2316.61	1823.81	1433.91	1211.37	995.758	858.354	741.784	665.586	556.099	539.197	498.384	445.563	411.476	369.364	336.12	324.475	307.846
nan	nan	3282.99	2242.63	1766.35	1415.2	1148.17	972.943	836.386	712.297	636.971	560.945	511.451	467.56	420.02	379.682	341.191	317.43	302.756	nan
